date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:23	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Sep%202019%2018:53:23%20GMT	https://codeboxr.net/robots.txt		(from )
00:23:23	55631/55631	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jun%202018%2000:02:08%20GMT	https://codeboxr.net/themedemo/unialumni/html/	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/index.html	(from )
00:23:24	4241/4241	---M--	200	added ('OK')	image/png	date:Wed,%2030%20May%202018%2020:10:38%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/twittercardimg/twittercard-144-144.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/twittercardimg/twittercard-144-144.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:24	9456/9456	---M--	200	added ('OK')	image/png	date:Wed,%2030%20May%202018%2020:10:38%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/opengraph/fbphoto-476-476.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/opengraph/fbphoto-476-476.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:24	11241/11241	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/ms-icon-144x144.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/ms-icon-144x144.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:25	824/824	---M--	200	added ('OK')	image/x-icon	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon.ico	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon.ico	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:25	6119/6119	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-57x57.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-57x57.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:25	6191/6191	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-60x60.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-60x60.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:26	6930/6930	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-72x72.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-72x72.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:26	6830/6830	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-76x76.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-76x76.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:27	9488/9488	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-114x114.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-114x114.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:27	9561/9561	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-120x120.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-120x120.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:27	11241/11241	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-144x144.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-144x144.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:28	10653/10653	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-152x152.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-152x152.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:28	12055/12055	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-180x180.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/apple-icon-180x180.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:28	11519/11519	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/android-icon-192x192.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/android-icon-192x192.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:29	4505/4505	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-32x32.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-32x32.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:29	8267/8267	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-96x96.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-96x96.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:31	3460/3460	---M--	200	added ('OK')	image/png	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-16x16.png	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/favicon-16x16.png	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:31	760/760	---M--	200	added ('OK')	application/json	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon/manifest.json	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon/manifest.json	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:32	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/img/favicon.ico	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/img/favicon.ico	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:33	140936/140936	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20May%202018%2019:41:02%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://codeboxr.net/themedemo/unialumni/html/)
00:23:33	383/383	---M-Z	200	added ('OK')	text/css	date:Thu,%2031%20May%202018%2020:46:20%20GMT	https://codeboxr.net/themedemo/unialumni/html/assets/vendor/navbar/bootstrap-4-navbar.css	C:/Users/vibhu/Desktop/Last%20Last/codeboxr.net/themedemo/unialumni/html/assets/vendor/navbar/bootstrap-4-navbar.css	(from https://codeboxr.net/themedemo/unialumni/html/)
